Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6106870229007634,0.820126272387579,0.03851963746223565,0.77728285077951,0.8038260456273765,5.474509803921569,8416,0
race,African-American,0.6492220650636492,0.8134607931791759,0.03789152024446142,0.7588018917498687,0.7997159090909091,5.82258064516129,8448,1
race,African-American,0.5956521739130435,0.8169211195928753,0.04164179104477612,0.7778378378378379,0.7990643274853801,5.157706093189964,8550,2
race,African-American,0.6572700296735905,0.8183922829581993,0.03503184713375796,0.7611859838274933,0.8055391170552728,6.112554112554113,8449,3
race,African-American,0.6153846153846154,0.8158550990943694,0.04236635341241719,0.7612588171459577,0.798656107511399,5.101818181818182,8334,4
race,Caucasian,0.616638935108153,0.8293932440365014,0.035736443727509615,0.775312234752031,0.8136007706938715,5.550347222222222,40483,0
race,Caucasian,0.6295048837992591,0.832007686969519,0.03408527516113039,0.7710400588019111,0.8171386175343144,5.721818181818182,40435,1
race,Caucasian,0.6044612001256676,0.8271697910222964,0.03932654463672144,0.7695808383233533,0.809607571102963,5.104050833995235,40364,2
race,Caucasian,0.6245847176079734,0.8270353876103362,0.0351553993093364,0.7752808988764045,0.8119923967513392,5.739823008849558,40509,3
race,Caucasian,0.6125423728813559,0.8278723404255319,0.03541879706237799,0.7817369247493658,0.8122071516646115,5.662292213473316,40550,4
race,Other,0.42857142857142855,0.9372485921158488,0.0068201193520886615,0.9285714285714286,0.9315831344470963,9.75,1257,0
race,Other,0.4375,0.9474940334128878,0.0075,0.9041095890410958,0.9410840534171249,7.333333333333333,1273,1
race,Other,0.26666666666666666,0.9299103504482478,0.009548611111111112,0.9555555555555556,0.9219001610305958,7.818181818181818,1242,2
race,Other,0.5,0.9359730412805392,0.004480286738351254,0.9382716049382716,0.9323308270676691,15.2,1197,3
race,Other,0.5882352941176471,0.9401913875598086,0.005902192242833052,0.8823529411764706,0.9354838709677419,10.714285714285714,1271,4
sex,female,0.6026557711950971,0.8340072786089769,0.030476339705421497,0.8067474615132656,0.8196876778150092,6.331619537275064,15817,0
sex,female,0.6161087866108786,0.8463954032204183,0.028154967395473726,0.7960526315789473,0.832569239464925,6.264305177111717,15923,1
sex,female,0.5985985985985987,0.8358279395900755,0.03133302078449758,0.8028354764259809,0.8208578106247236,6.072319201995012,15831,2
sex,female,0.6092925026399155,0.8371513273143781,0.028917545916373584,0.8072812291249165,0.8234847045411362,6.532432432432432,15789,3
sex,female,0.6014644351464435,0.8390974414075616,0.029589934762348554,0.8064624705486368,0.8247617845649019,6.288713910761155,15847,4
sex,male,0.6192949907235622,0.8291935279989887,0.037630662020905925,0.7640655923098671,0.8127202306415446,5.26803118908382,34339,0
sex,male,0.6381578947368421,0.8252214496618726,0.03669112741827885,0.7592056268100952,0.8102707913416879,5.5606060606060606,34233,1
sex,male,0.6026306680512288,0.824532383254867,0.04241170385695286,0.7600937026319415,0.8058557902403496,4.804878048780488,34325,2
sex,male,0.6374226428831452,0.8242512413422309,0.03680981595092025,0.7603995621237001,0.8093173485421638,5.579317269076305,34366,3
sex,male,0.6170212765957447,0.8241403331011335,0.03856382978723404,0.767551133222775,0.8076833391628775,5.319923371647509,34308,4
